City,Converted,Country,Created Date,Dead Reason,Email Opt Out,Industry,Key Account,Last Status Change,Lead ID,Lead Source,Lead Status at Conversion,LeadRecordType,LS Team Notified,Next_Step__c (Leads),Pardot Conversion Date,Pardot Created Date,Pardot First Activity,Pardot Last Activity,Primary Research Application,Product Category,Record Type ID,SS Team Notified,State/Province,Status,Campaign Membership Count,Pardot Score
Philadelphia,FALSE,United States,06-08-2020,N/A - Active Lead,FALSE,Banking,TRUE,06-08-2020,00Q5A00001OVC9lUAH,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,06-05-2020,06-08-2020,06-08-2020,Metabolomics,Uncategorized,0125A000001ESVdQAO,FALSE,Pennsylvania,Nurturing,3,0
Unknown City,FALSE,United Kingdom,06-08-2020,N/A - Active Lead,FALSE,Biotechnology,FALSE,20-04-2021,00Q5A00001OVCC6UAP,Advertisement,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,06-08-2020,06-08-2020,06-08-2020,29-03-2021,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,United Kingdom,Nurturing,3,0
Shanghai,TRUE,China,06-08-2020,N/A - Converted,FALSE,Apparel,FALSE,06-08-2020,00Q5A00001OVCSEUA5,Field Sales,Nurturing,0125A000001ESVd,FALSE,No Active Next Step,,,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Shanghai,Converted,0,0
Unknown City,TRUE,Japan,06-08-2020,N/A - Converted,FALSE,Banking,FALSE,06-08-2020,00Q5A00001OVCTbUAP,Field Sales,Nurturing,0125A000001ESVd,FALSE,No Active Next Step,,,,,Metabolomics,System,0125A000001ESVdQAO,FALSE,Toyama,Converted,0,0
Lakeville,FALSE,United States,07-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,07-08-2020,00Q5A00001OVDXDUA5,Advertisement,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,07-08-2020,,,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Pennsylvania,Nurturing,5,0
Kemaman,FALSE,Malaysia,07-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,11-08-2020,00Q5A00001OVDZnUAP,Advertisement,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,07-08-2020,10-11-2020,20-05-2021,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Nurturing,2,2
Unknown City,FALSE,Canada,07-08-2020,N/A - Active Lead,FALSE,Telecommunications,FALSE,07-08-2020,00Q5A00001OVDgjUAH,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,07-08-2020,07-08-2020,07-08-2020,07-08-2020,Metabolomics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Julich,TRUE,Germany,10-08-2020,N/A - Converted,FALSE,Banking,FALSE,23-10-2020,00Q5A00001OVF00UAH,Website,MQL,0125A000001ESVd,FALSE,No Active Next Step,10-08-2020,10-08-2020,10-08-2020,01-10-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Converted,1,184
Unknown City,FALSE,United States,10-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,11-04-2021,00Q5A00001OVF68UAH,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,10-08-2020,10-08-2020,10-08-2020,10-08-2020,Other,Uncategorized,0125A000001NaBGQA0,FALSE,New Jersey,Nurturing,1,0
Gentryville,FALSE,United States,10-08-2020,N/A - Active Lead,FALSE,Communications,FALSE,10-08-2020,00Q5A00001OVF6DUAX,Advertisement,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,10-08-2020,,,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Indiana,Nurturing,3,2
Unknown City,FALSE,United States,10-08-2020,N/A - Active Lead,TRUE,Communications,FALSE,10-08-2020,00Q5A00001OVFEvUAP,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,10-08-2020,10-08-2020,10-08-2020,31-08-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Maryland,Nurturing,1,0
