Account ID,Campaign ID,Close Date,Closed Lost Reason,Contact ID,Created By ID,Created Date,Fiscal Quarter,Fiscal Year,Forecast Category,Industry,Interface Type,Last Activity,Last Stage Change Date,LDO,Lead Application,Lead Source,Opportunity ID,Owner ID,Primary Application,Primary Contact,Product Category,Product of Interest,Stage,Amount,Probability (%)
0013100001VWdHfAAL,No Campaign,30-09-2015,Not Applicable,Unknown Contact,005i0000000fNkyAAE,22-07-2015,3,2015,Omitted,Education,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Website,0063100000YNxMDAA1,005i0000000fNkyAAE,All Hazards,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,$0.00,0
0013100001VWdHuAAL,No Campaign,30-09-2015,Not Applicable,Unknown Contact,005i0000000fNkyAAE,22-07-2015,3,2015,Closed,Education,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Website,0063100000YNxNGAA1,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,$923.00 ,100
001i000000Jd1ngAAB,No Campaign,30-09-2015,Not Applicable,Unknown Contact,005i0000000fNkyAAE,31-07-2015,3,2015,Omitted,Education,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000YOGBDAA5,005i0000000fNkyAAE,No Application Selected,0033100002mbttwAAA,Uncategorized,Product Not Specified,Closed Lost,"$1,77,000.00 ",0
0013100001VXN1KAAX,No Campaign,30-09-2015,Not Applicable,Unknown Contact,005i0000000fNkyAAE,05-08-2015,3,2015,Omitted,Education,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000YOYE1AAP,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$1,00,000.00 ",0
0013100001awhseAAA,No Campaign,30-09-2015,Duplicate opportunity,Unknown Contact,005i0000000fNkyAAE,16-09-2015,3,2015,Omitted,Education,Unknown,No Activity Recorded,24-12-2020,FALSE,Not Specified,Advertisement,0063100000ZJiQqAAL,00531000008F2qlAAC,CWAs,0033100002nwgNAAAY,Uncategorized,Product Not Specified,Closed Lost,$0.00,0
0013100001bZKDxAAO,No Campaign,30-09-2015,Not Applicable,Unknown Contact,005i0000000fNkyAAE,22-09-2015,3,2015,Omitted,Education,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000ZKCUHAA5,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$50,000.00 ",0
0013100001bZMFsAAO,No Campaign,30-09-2015,Not Applicable,Unknown Contact,005i0000000fNkyAAE,22-09-2015,3,2015,Closed,Education,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000ZKDYTAA5,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$50,000.00 ",100
0013100001bZYGIAA4,No Campaign,30-09-2015,Not Applicable,Unknown Contact,005i0000000fNkyAAE,23-09-2015,3,2015,Omitted,Electronics,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000ZKMQFAA5,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$50,000.00 ",0
0013100001bZYVXAA4,No Campaign,30-09-2015,Not Applicable,Unknown Contact,005i0000000fNkyAAE,23-09-2015,3,2015,Omitted,Electronics,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000ZKMWSAA5,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$50,000.00 ",0
0013100001cRpCNAA0,No Campaign,31-12-2015,Not Applicable,Unknown Contact,005i0000006RgPOAA0,28-10-2015,4,2015,Omitted,Electronics,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000ZlQEeAAN,005i0000000fNkyAAE,CWAs,0033100002pPZxPAAW,Uncategorized,Product Not Specified,Closed Lost,$0.00,0
